Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 315, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9062181681
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 305, Row: 4, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8833311387
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 327, Row: 4, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8829729684
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 320, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8936805323
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 320, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8937202460
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 108, Row: 30, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8936801408
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8793074688
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 311, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025309431
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 311, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025309429
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 322, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9029171925
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 322, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025309513
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 322, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9099708652
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 322, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9097631868
