Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 15, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8937084936
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 111, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533642630
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 331, Row: 3, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8829607971
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 313, Row: 8, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936800465
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 316, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9076570866
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 107, Row: 29, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936801035
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 40, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8655256281
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 111, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533642538
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 140, Row: 12, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9090740026
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 307, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936623391
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 306, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936625045
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 324, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936625085
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 324, Row: 2, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936623535
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 139, Row: 17, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936621844
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 2, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555491
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 10, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8897555391
