Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 14, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9102129013
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9025726826
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9097808600
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103610950
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105197220
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105024805
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105950870
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103965071
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9104745557
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105239605
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 8, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9106868973
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9097648373
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9025726836
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9102918899
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105809997
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 16, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9104806568
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103966659
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9104015827
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9106000636
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9104019756
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105883293
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 17, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9105215246
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 32, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9074271235
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 312, Row: 10, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8829714442
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 9, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8829714524
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 311, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8829816726
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 322, Row: 10, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9073395392
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 316, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=8987703651
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 311, Row: 9, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9025726488
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 311, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9106111383
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9073353799
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 11, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103966818
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 12, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9103962894
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 9, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9093769127
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 322, Row: 9, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9077932833
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 1, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9025726856
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-8-2025/event/154657599/?quantity=2&listingId=9025726751
