Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 133, Row: 9, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b502b82f94efc810ad66c1
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 104, Row: 27, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683df3e2207e70b704cab
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 139, Row: 17, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/670ea1b7f0923f9bcdad0938
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 105, Row: 26, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683ec3e2207e70b71afcf
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 111, Row: 6, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b502872f94efc810a5e2d4
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 319, Row: 2, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e83076d4811782d3db07fa
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 134, Row: 3, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b502b82f94efc810ad66a7
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 107, Row: 28, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683f43e2207e70b727aff
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 215, Row: 4, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e15d36d4811782d3eaeb0d
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 143, Row: 23, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683ec3e2207e70b71afba
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 142, Row: 13, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/678683f15f5eedb9b59e2ed4
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 107, Row: 33, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683e03e2207e70b707209
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 102, Row: 16, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683ea3e2207e70b717f5e
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 143, Row: 11, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683ef3e2207e70b720061
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 108, Row: 21, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67896e7d5f5eedb9b5533982
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 216, Row: 1, Price: $92.00, Est. Price: $92.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b503862f94efc810c7d1e4
