Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 324, Row: 3, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936807802
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 318, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936805769
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 139, Row: 17, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8937493737
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 107, Row: 29, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936800680
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 328, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8846644076
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 331, Row: 2, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8829722267
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 302, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8846659245
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 326, Row: 40, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8655257737
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 310, Row: 3, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936709774
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 133, Row: 9, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533785018
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 306, Row: 1, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936623480
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 324, Row: 1, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936623499
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 325, Row: 1, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936620552
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 326, Row: 1, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9078203099
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 102, Row: 17, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936710613
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 300, Row: 2, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8904761083
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 300, Row: 22, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8904761111
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 332, Row: 23, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8924654121
