Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 329, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944693
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 329, Row: 10, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944700
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 300, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023941876
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 300, Row: 10, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9112306642
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 329, Row: 12, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9114151672
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 300, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023941888
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 300, Row: 12, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9112315192
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 300, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9112315832
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 300, Row: 15, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9113910785
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 332, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944748
